Disease,Risk_Level,Risk_Factors,Description
Flu,High,Young children,"A contagious respiratory illness caused by influenza viruses, which can lead to mild to severe illness, and at times can lead to death. Symptoms include fever, cough, sore throat, body aches, and fatigue."
Asthma,Moderate,Allergens,"A chronic condition where the airways become inflamed and narrow, causing difficulty breathing, chest tightness, and coughing. It can be triggered by various allergens, exercise, or stress."
Sinusitis,Moderate,Allergies,"An inflammation or swelling of the tissue lining the sinuses, often caused by a common cold, allergies, or nasal polyps. Symptoms include nasal congestion, pain around the face, and thick nasal discharge."
Migraine,Moderate,Stress,"A neurological condition characterized by intense, debilitating headaches often accompanied by nausea, vomiting, and sensitivity to light and sound. Triggers can include hormonal changes, certain foods, and stress."
Common Cold,High,Crowded places and cold weather,"A viral infection of the nose and throat characterized by a runny nose, sore throat, cough, and congestion. It is highly contagious and spreads through droplets in the air."
Pneumonia,High,Infants,"An infection that inflames the air sacs in one or both lungs which may fill with fluid or pus, causing cough with phlegm or pus, fever, chills, and difficulty breathing. It can be caused by bacteria, viruses, or fungi."
Allergies,Moderate,Pollen,"An immune system reaction to foreign substances such as pollen, pet dander, or certain foods. Symptoms can include sneezing, itching, rash, and anaphylaxis in severe cases."
COVID-19,High,Elderly and those with underlying health conditions,"A highly contagious disease caused by the novel coronavirus SARS-CoV-2. It can lead to severe respiratory illness, especially in older adults and individuals with preexisting health conditions."
Tonsillitis,Moderate,Frequent exposure to germs or infections,"An inflammation of the tonsils, typically caused by viral or bacterial infections. Symptoms include sore throat, difficulty swallowing, and swollen tonsils."
Diabetes,High,Obesity,"A metabolic disease that causes high blood sugar. The body either does not make enough insulin or cannot effectively use the insulin it makes. Long-term complications include heart disease, stroke, and kidney failure."
Malaria,High,Areas with prevalent mosquito populations,"A life-threatening disease caused by parasites transmitted through the bites of infected Anopheles mosquitoes. Symptoms include fever, chills, and flu-like illness. If not treated, it can lead to severe complications and death."
